,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
2791,PRIMERA,2021-04-30,AEGNEM,FUENTES,PRADO,HUMERES,FUENTES
2796,PRIMERA,2021-04-09,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2807,PRIMERA,2021-04-08,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2821,PRIMERA,2021-04-07,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
2834,PRIMERA,2021-04-06,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2845,PRIMERA,2021-04-05,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2857,PRIMERA,2021-04-01,AEGNEM,FUENTES,SILVA,ALUSIC,HUMERES
2860,PRIMERA,2021-05-10,AMAGGI,PRADO,SILVA,HUMERES,FUENTES
2862,PRIMERA,2021-05-11,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2865,PRIMERA,2021-05-12,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
2867,PRIMERA,2021-05-13,AMAGGI,AEGNEM,FUENTES,AMU,MUNITA
2871,PRIMERA,2021-05-14,FUENTES,PRADO,SILVA,MUNITA,FUENTES
2874,PRIMERA,2021-05-17,AMAGGI,AEGNEM,FUENTES,SILVA,HUMERES
2878,PRIMERA,2021-05-18,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2884,PRIMERA,2021-05-19,AMAGGI,PRADO,SILVA,BIEL,FUENTES
2891,PRIMERA,2021-05-20,AMAGGI,PRADO,SILVA,MU,FUENTES
2897,PRIMERA,2021-05-24,AMAGGI,ACHEVESICH,AMU,PRADO,SILVA
2901,PRIMERA,2021-05-25,AMAGGI,PRADO,SILVA,BIEL,ZEPEDA
2907,PRIMERA,2021-05-26,BRITO,PRADO,SILVA,BIEL,HUMERES
2914,PRIMERA,2021-05-27,AMAGGI,PRADO,SILVA,BIEL,ZEPEDA
2923,PRIMERA,2021-05-28,AMAGGI,PRADO,SILVA,BIEL,MUNITA
2931,PRIMERA,2021-05-31,AMAGGI,SILVA,BIEL,MU,FUENTES
2935,PRIMERA,2021-05-07,AMAGGI,PRADO,SILVA,HUMERES,FUENTES
2940,PRIMERA,2021-05-06,AMAGGI,AMU,PRADO,SILVA,FUENTES
2950,PRIMERA,2021-05-05,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2957,PRIMERA,2021-05-04,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2965,PRIMERA,2021-05-03,AEGNEM,FUENTES,PRADO,SILVA,HUMERES
2967,PRIMERA,2021-06-11,AMAGGI,BIEL,MU,MUNITA,FUENTES
2969,PRIMERA,2021-06-14,BRITO,AMAGGI,PRADO,SILVA,BIEL
2970,PRIMERA,2021-06-10,AMAGGI,PRADO,ARAVANALES,ALETELIER,MU
2972,PRIMERA,2021-06-15,PRADO,BIEL,MU,AGAJARDO,FUENTES
2974,PRIMERA,2021-06-16,AMAGGI,PRADO,SILVA,BIEL,MU
2976,PRIMERA,2021-06-17,AMAGGI,PRADO,SILVA,BIEL,MU
2979,PRIMERA,2021-06-18,AMAGGI,PRADO,SILVA,BIEL,HUMERES
2981,PRIMERA,2021-06-22,AMAGGI,PRADO,SILVA,BIEL,MU
2986,PRIMERA,2021-06-23,AMAGGI,PRADO,SILVA,BIEL,MU
2992,PRIMERA,2021-06-24,AMAGGI,PRADO,SILVA,BIEL,MU
2994,PRIMERA,2021-06-25,AMAGGI,PRADO,SILVA,BIEL,FUENTES
2998,PRIMERA,2021-06-29,AMAGGI,PRADO,SILVA,ARAVANALES,BIEL
3001,PRIMERA,2021-06-30,SILVA,ALETELIER,MU,ZEPEDA,HUMERES
3007,PRIMERA,2021-06-09,AMAGGI,PRADO,SILVA,BIEL,MU
3013,PRIMERA,2021-06-08,AMAGGI,PRADO,SILVA,BIEL,MU
3020,PRIMERA,2021-06-07,AMAGGI,PRADO,SILVA,BIEL,ZEPEDA
3027,PRIMERA,2021-06-04,PRADO,SILVA,BIEL,MU,MUNITA
3032,PRIMERA,2021-06-03,AMAGGI,PRADO,SILVA,BIEL,ZEPEDA
3039,PRIMERA,2021-06-02,AMAGGI,PRADO,SILVA,BIEL,ZEPEDA
3048,PRIMERA,2021-06-01,AMAGGI,PRADO,SILVA,BIEL,MU
3050,PRIMERA,2021-07-12,AMAGGI,PRADO,SILVA,BIEL,MU
3052,PRIMERA,2021-07-13,AMAGGI,PRADO,SILVA,BIEL,FUENTES
3053,PRIMERA,2021-07-14,AMAGGI,AEGNEM,FUENTES,PRADO,HUMERES
3055,PRIMERA,2021-07-15,AMAGGI,AEGNEM,FUENTES,MUNITA,FUENTES
3058,PRIMERA,2021-07-19,AMAGGI,AEGNEM,PRADO,SILVA,HUMERES
3061,PRIMERA,2021-07-20,AMAGGI,FUENTES,PRADO,SILVA,AGAJARDO
3064,PRIMERA,2021-07-22,AMAGGI,AEGNEM,FUENTES,SILVA,MUNITA
3068,PRIMERA,2021-07-23,AMAGGI,FUENTES,PRADO,SILVA,FUENTES
3072,PRIMERA,2021-07-26,PRADO,SILVA,MU,, MERA
3076,PRIMERA,2021-07-27,AMAGGI,PRADO,SILVA,MU,
3079,PRIMERA,2021-07-28,AMAGGI,PRADO,SILVA,MU,
3084,PRIMERA,2021-07-29,AMAGGI,SILVA,MU,, GONZALEZ
3089,PRIMERA,2021-07-30,AMAGGI,PRADO,SILVA,MU,MUNITA
3094,PRIMERA,2021-07-09,AMAGGI,PRADO,SILVA,MU,HUMERES
3099,PRIMERA,2021-07-08,AMAGGI,PRADO,SILVA,BIEL,MU
3105,PRIMERA,2021-07-07,AMAGGI,PRADO,SILVA,BIEL,MUNITA
3112,PRIMERA,2021-07-06,AMAGGI,PRADO,SILVA,BIEL,MUNITA
3117,PRIMERA,2021-07-05,AMAGGI,PRADO,SILVA,BIEL,MU
3122,PRIMERA,2021-07-02,AMAGGI,PRADO,SILVA,BIEL,MU
3127,PRIMERA,2021-07-01,PRADO,BIEL,MU,MUNITA,FUENTES
3129,PRIMERA,2021-08-10,AEGNEM,FUENTES,PRADO,SILVA,RUZ
3130,PRIMERA,2021-08-11,AEGNEM,FUENTES,SILVA,MUNITA,HUMERES
3131,PRIMERA,2021-08-12,AEGNEM,FUENTES,PRADO,SILVA,FUENTES
3132,PRIMERA,2021-08-13,AEGNEM,FUENTES,PRADO,SILVA,FUENTES
3133,PRIMERA,2021-08-16,AEGNEM,FUENTES,PRADO,SILVA,MUNITA
3135,PRIMERA,2021-08-17,AEGNEM,FUENTES,SILVA,MUNITA,FUENTES
3138,PRIMERA,2021-08-18,AEGNEM,FUENTES,PRADO,SILVA,HUMERES
3140,PRIMERA,2021-08-19,AEGNEM,FUENTES,SILVA,MUNITA,ALCALDE
3143,PRIMERA,2021-08-20,AEGNEM,PRADO,SILVA,MERA,HUMERES
